newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
13450,54,282115753,259018789,46.47708683,47.96435126
13451,48,245332119,228288223,57.17582963,50.37884189
13452,29,188687073,172762529,56.6697671,41.01171295
13453,21,177158161,162687329,49.17399355,33.6773904
13454,20,149726464,136864865,42.33158944,30.13246817
13455,36,203723143,182266550,29.55298964,31.51158982
13456,50,330282036,291697443,27.18982729,36.93189857
13457,46,311226838,281292733,43.39038865,42.74480444
13458,30,142325764,131844878,45.55149055,36.24763517
13459,44,184303842,167546940,50.16872674,45.17094054
13460,51,279174864,257331663,29.14749507,38.21011047
13461,64,189365523,183222315,42.73121243,50.77007265
13462,50,93822636,92501163,46.24956295,46.12252987
13463,40,194252118,175952223,38.50446795,37.4862489
13464,54,319880977,288032132,42.18143673,45.90888015
